year,gender,mean_age_gender
1992,Male,34.60523606073196
1993,Male,34.767035690518796
1994,Male,35.38414368245356
1995,Male,34.600460816513916
1996,Male,35.349414886708345
1997,Male,35.56832485925176
1998,Male,35.74134191697854
1999,Male,35.2927318554369
2000,Male,36.626421498627366
2001,Male,35.92323023277408
2002,Male,38.15772842457124
2003,Male,36.945808343917506
2004,Male,36.41710007790385
2005,Male,37.666275128985475
2006,Male,37.602846338904
2007,Male,38.15778758929079
2008,Male,37.71697939085083
2009,Male,37.38889500294378
2010,Male,39.44462622556088
2011,Male,40.422657738310555
2012,Male,40.3213340791296
2013,Male,40.5295983851567
2014,Male,38.45224380965382
2015,Male,38.65942094583028
2016,Male,39.00096589006628
2017,Male,38.16681134859916
2018,Male,38.01314554123917
2019,Male,38.33828353347494
2020,Male,37.48874040744667
2021,Male,37.9073088764287
1992,Female,34.03013454581223
1993,Female,34.411072365948165
1994,Female,34.60625584601307
1995,Female,34.266531593073914
1996,Female,34.95158348284813
1997,Female,35.34692201300156
1998,Female,35.52945819745387
1999,Female,35.29021374068354
2000,Female,36.49454299368313
2001,Female,35.81240025033226
2002,Female,37.01449901773558
2003,Female,36.93476925786997
2004,Female,36.44278279506731
2005,Female,37.51938552830209
2006,Female,37.657769842411916
2007,Female,37.666428469662826
2008,Female,37.72287586961739
2009,Female,37.55647710193846
2010,Female,38.66661065705933
2011,Female,40.46509338254769
2012,Female,40.47154678428235
2013,Female,40.533035518953184
2014,Female,38.48934172501324
2015,Female,38.68350401261924
2016,Female,39.06105770563209
2017,Female,38.32332218281487
2018,Female,38.22724253032523
2019,Female,38.89575249751973
2020,Female,37.607799601548436
2021,Female,37.91673076683346
