,Country Name,Country Code,Region Code,Subsample,Income Level Name,Income Level Code,Year of survey,Survey Data Source,Survey Type,Total population,"Children, aged 0-14","Youth, aged 15-24","Adult, aged 25-64","Elderly, aged 65+",Urban Population (% of total Population)," Working Age Population, aged 15-64 (% of total Pop.)","Dependency Rate, all compared to 15-64","Youth Dependency Rate, younger than 15 compared to 15-64","Old Age Dependency Rate, older than 64 compared to 15-64","Labor Force, aged 15-64","Labor Force Participation Rate, aged 15-64","Female Labor Force Participation Rate, aged 15-64","Not in labor force or education rate among youth, aged 15-24",Share of workers (aged 15-64) with more than one jobs in last week,"Employment to Population Ratio, aged 15-64","Employment Rate, aged 15-64 ","Unemployment Rate, aged 15-64","Youth Employment Rate, aged 15-24","Youth Unemployment Rate, aged 15-24","Wage employees, aged 15-64 ","Self-employed, aged 15-64","Unpaid, aged 15-64","Employers, aged 15-64","Unpaid or Self-employed, age 15-64","Share of informal jobs, aged 15-64",Share of work contract,Share of health insurance,Share of social security,"Public sector employment, aged 15-64"," Agriculture, aged 15-64"," Industry, aged 15-64"," Services, aged 15-64","Mining, aged 15-64","Manufacturing, aged 15-64","Electricity and utilities, aged 15-64","Construction, aged 15-64","Commerce, aged 15-64","Transport & Communication, aged 15-64","Financial and Business Services, aged 15-64","Public Administration, aged 15-64","Other services, aged 15-64"," Female in non-agricultural employment, aged 15-64","Youth in non-agricultural employment, aged 15-64","Non-Agricultural wage employment, aged 15-64","Non-Agricultural unpaid employment, aged 15-64","Non-Agricultural employer, aged 15-64","Non-Agricultural self-employed, aged 15-64","Youth Non-Agricultural wage employment, aged 15-24","Wage employment in agriculture, aged 15-64","Wage employment in industry, aged 15-64","Wage employment in services, aged 15-64"," Senior Officials, aged 15-64"," Professionals, aged 15-64"," Technicians, aged 15-64"," Clerks, aged 15-64"," Service and Market Sales, aged 15-64"," Skilled Agriculture, aged 15-64"," Craft Workers, aged 15-64"," Machine Operators, aged 15-64"," Elementary Occupations, aged 15-64", Armed Forces,Average weekly working hours,"Underemployment, <35 hours per week","Excessive working hours,>48 hours per week","Median Earnings for wage workers per hour, local nominal currency","Median Earnings for wage workers per month, local nominal currency","Median Earnings for wage workers per month in agriculture, local nominal currenc","Median Earnings for wage workers per month in industry, local nominal currency","Median Earnings for wage workers per month in service, local nominal currency","Median Earnings for wage workers per hour,  deflated to 2011 local currency valu","Real Median Hourly  Wages in USD (base 2011), PPP adjusted","Median Earnings for wage workers per month, deflated to 2011 local currency valu","Real Median Monthly Wages in USD (base 2011), PPP adjusted","Female to Male gender wage gap, calculated with median wages","Public to Private wage gap, calculated with median wages", No Education, Primary Education, Secondary Education, Post Secondary Education,"Mean number of years of education completed, aged 17 and older",Enrollment rate for individuals aged 6-16,Individual age,Mean age of worker between 15-64,"Mean age of worker in agriculture, between 15-64","Mean age of worker in industry, between 15-64","Mean age of worker in services, between 15-64","Mean age of wage worker, between 15-64","Mean age of self-employed or unpaid worker, between 15-64","Mean age of employer, between 15-64",Total flags in survey,"Percentile (100 = max), total flags",Flags over max number of flags,"Percentile (100 = max), share of flags"
0,Afghanistan,AFG,SAS,All,Low income,LIC,2003,AFG_2003_I2D2_NRVA.dta,I2D2,9530298,0.46,0.2,0.31,0.03,,0.51,0.97,0.91,0.06,2161903,0.5,0.2,0.47,1.13,0.45,0.92,0.08,0.89,0.11,0.26,0.74,0.0,0.0,0.74,,,,,0.09,0.54,0.22,0.25,0.01,0.06,0.0,0.16,0.07,0.04,0.0,0.06,0.08,0.6,0.53,0.19,0.0,0.0,0.26,0.34,0.11,0.45,0.4,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.12,0.08,0.0,1.55,0.36,22.16,33.76,35.98,30.41,33.87,32.69,34.75,,28.0,7.0,0.06,50.0
1,Afghanistan,AFG,SAS,All,Low income,LIC,2007,AFG_2007_I2D2_NRVA_V01_M_V02_A.dta,I2D2,24967746,0.49,0.19,0.3,0.03,0.21,0.49,1.05,1.0,0.06,7466044,0.65,0.45,0.34,0.04,0.64,0.98,0.02,0.96,0.04,0.23,0.44,0.33,0.0,0.77,,,,,0.06,0.59,0.13,0.29,0.0,0.05,0.0,0.08,0.11,0.03,0.0,0.04,0.11,0.23,0.43,0.19,0.04,0.0,0.18,0.24,0.07,0.58,0.4,,,,,,,,,,,36.88,0.48,0.32,22.11,3258.75,3258.75,3693.25,3258.75,0.3,0.02,43.86,2.61,0.53,0.73,0.73,0.1,0.15,0.02,1.99,0.47,20.55,33.07,33.51,30.25,33.46,33.12,33.06,32.75,39.0,19.0,0.08,66.0
2,Afghanistan,AFG,SAS,All,Low income,LIC,2011,AFG_2011_I2D2_NRVA_V01_M_V02_A.dta,I2D2,26954796,0.48,0.19,0.3,0.02,0.24,0.49,1.04,0.99,0.05,6394689,0.51,0.2,0.43,,0.48,0.95,0.05,0.91,0.09,0.39,0.47,0.13,0.01,0.6,,,,,0.11,0.38,0.17,0.45,0.0,0.07,0.0,0.1,0.11,0.06,0.0,0.06,0.21,0.46,0.64,0.34,0.04,0.01,0.22,0.5,0.12,0.59,0.55,0.0,0.07,0.0,0.0,0.23,0.0,0.1,0.1,0.51,0.0,43.04,0.32,0.34,,,,,,,,,,,,0.67,0.17,0.12,0.04,2.62,0.53,20.2,32.61,33.53,29.79,32.91,32.06,32.98,32.89,22.0,5.0,0.04,29.0
3,Afghanistan,AFG,SAS,All,Low income,LIC,2013,AFG_2013_I2D2_ALCS.dta,I2D2,28020221,0.48,0.2,0.3,0.03,0.25,0.5,1.0,0.95,0.05,7043194,0.5,0.24,0.34,0.05,0.46,0.91,0.09,0.86,0.14,0.36,0.31,0.3,0.02,0.61,,,,,0.0,0.45,0.22,0.33,0.0,0.08,0.0,0.14,0.11,0.05,0.01,0.07,0.08,0.34,0.53,0.32,0.05,0.02,0.16,0.38,0.08,0.63,0.56,0.01,0.04,0.01,0.02,0.15,0.43,0.11,0.05,0.15,0.01,37.52,0.44,0.28,21.88,2607.0,1216.6,1303.5,9000.0,0.19,0.01,22.81,1.36,1.53,,0.66,0.16,0.13,0.05,9.63,0.94,20.51,32.65,32.93,30.77,33.63,32.79,32.64,32.21,53.0,38.0,0.1,73.0
4,Angola,AGO,SSF,All,Lower middle income,LMC,2000,AGO_2000_I2D2_IDR.dta,I2D2,5398976,0.49,0.22,0.28,0.02,0.86,0.5,1.02,0.98,0.04,2294941,0.88,0.88,0.04,0.08,0.83,0.95,0.05,0.93,0.07,0.38,0.47,0.11,0.05,0.58,,,,,0.11,0.17,0.12,0.71,0.01,0.05,0.0,0.06,0.46,0.05,0.01,0.07,0.11,0.8,0.79,0.36,0.02,0.02,0.43,0.55,0.11,0.63,0.4,0.03,0.05,0.06,0.02,0.25,0.16,0.14,0.04,0.26,0.0,47.17,0.18,0.39,,,,,,,,,,,,0.17,0.72,0.09,0.02,4.76,0.52,19.26,31.08,34.22,34.09,32.16,34.15,31.05,41.91,46.0,29.0,0.08,69.0
5,Angola,AGO,SSF,All,Lower middle income,LMC,2008,AGO_2008_I2D2_IBEP-MICS.dta,I2D2,16367881,0.48,0.19,0.3,0.02,0.53,0.49,1.02,0.97,0.05,6364774,0.79,0.82,0.08,0.09,0.77,0.97,0.03,0.93,0.07,0.3,0.52,0.16,0.02,0.68,,,,,0.12,0.54,0.05,0.41,0.0,0.02,0.0,0.03,0.18,0.04,0.0,0.05,0.13,0.36,0.38,0.26,0.01,0.01,0.18,0.24,0.07,0.75,0.54,0.02,0.03,0.05,0.02,0.11,0.39,0.07,0.04,0.25,0.02,,,,,,,,,,,,,,,0.22,0.65,0.08,0.06,4.97,0.77,20.31,34.34,34.35,32.06,34.64,34.61,34.24,34.56,6.0,1.0,0.01,1.0
6,Angola,AGO,SSF,All,Lower middle income,LMC,2014,AGO_2014_I2D2_CENSUS.dta,I2D2,2473602,0.48,0.18,0.32,0.02,0.63,0.5,0.99,0.95,0.05,736493,0.61,0.53,0.18,,0.4,0.66,0.34,0.5,0.5,0.38,0.52,0.05,0.05,0.57,,,,,0.09,0.43,0.06,0.51,0.01,0.01,0.0,0.04,0.07,0.03,0.05,0.07,0.29,0.47,0.51,0.36,0.01,0.03,0.17,0.36,0.05,0.61,0.63,0.02,0.07,0.05,0.01,0.16,0.51,0.07,0.03,0.06,0.01,,,,,,,,,,,,,,,0.23,0.53,0.2,0.04,7.84,0.82,20.58,35.66,36.44,33.79,35.25,35.53,35.7,36.46,48.0,31.0,0.08,68.0
7,Albania,ALB,ECS,All,Upper middle income,UMC,2002,ALB_2002_I2D2_LSMS_V01_M_V01_A.dta,I2D2,3309789,0.28,0.18,0.46,0.09,0.42,0.64,0.57,0.43,0.13,1252204,0.66,0.55,0.25,0.06,0.59,0.9,0.1,0.86,0.14,0.35,0.64,0.0,0.01,0.64,0.79,,,0.61,0.46,0.56,0.15,0.29,0.01,0.05,0.02,0.07,0.1,0.04,0.01,0.04,0.09,0.3,0.22,0.34,0.0,0.01,0.09,0.19,0.02,0.87,0.72,0.02,0.07,0.04,0.01,0.08,0.54,0.11,0.06,0.06,0.01,38.21,0.37,0.25,93.89,16235.49,15876.69,18006.96,15676.04,1.18,0.02,203.83,3.67,0.71,0.81,0.03,0.56,0.34,0.07,8.6,0.8,30.96,37.54,36.05,38.29,39.99,39.09,36.66,38.71,36.0,16.0,0.04,32.0
8,Albania,ALB,ECS,All,Upper middle income,UMC,2005,ALB_2005_I2D2_LSMS_V01_M_V03_A.dta,I2D2,3259106,0.24,0.2,0.48,0.09,0.43,0.67,0.49,0.36,0.13,1225982,0.61,0.5,0.24,0.05,0.57,0.94,0.06,0.88,0.12,0.41,0.2,0.38,0.01,0.58,0.76,,,0.59,0.41,0.49,0.19,0.32,0.01,0.07,0.01,0.1,0.14,0.04,0.01,0.04,0.1,0.38,0.34,0.37,0.02,0.01,0.11,0.28,0.09,0.84,0.65,0.03,0.07,0.05,0.01,0.1,0.47,0.15,0.07,0.05,0.01,43.38,0.22,0.32,1070.2,200000.0,207000.0,200000.02,190000.0,12.77,0.23,2386.68,42.94,0.73,0.95,0.0,0.54,0.37,0.09,8.95,0.9,32.59,39.3,38.43,39.02,40.83,39.91,38.82,43.81,54.0,40.0,0.07,62.0
9,Albania,ALB,ECS,All,Upper middle income,UMC,2008,ALB_2008_I2D2_LSMS_V02_M_V05_A.dta,I2D2,3168282,0.21,0.18,0.49,0.12,0.49,0.68,0.48,0.31,0.17,1237925,0.62,0.53,0.21,0.04,0.57,0.92,0.08,0.78,0.22,0.46,0.25,0.28,0.01,0.53,0.69,,,0.68,0.37,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,43.61,0.17,0.28,1198.7,220000.0,,,,13.14,0.24,2411.4,43.38,0.8,1.25,0.0,0.5,0.37,0.12,9.73,0.85,35.47,40.77,,,,40.38,41.02,45.63,22.0,5.0,0.04,30.0
