,Country Name,Country Code,Region Code,Subsample,Income Level Name,Income Level Code,Year of survey,Survey Data Source,Survey Type,Total population,"Children, aged 0-14","Youth, aged 15-24","Adult, aged 25-64","Elderly, aged 65+",Urban Population (% of total Population)," Working Age Population, aged 15-64 (% of total Pop.)","Dependency Rate, all compared to 15-64","Youth Dependency Rate, younger than 15 compared to 15-64","Old Age Dependency Rate, older than 64 compared to 15-64","Labor Force, aged 15-64","Labor Force Participation Rate, aged 15-64","Female Labor Force Participation Rate, aged 15-64","Not in labor force or education rate among youth, aged 15-24",Share of workers (aged 15-64) with more than one jobs in last week,"Employment to Population Ratio, aged 15-64","Employment Rate, aged 15-64 ","Unemployment Rate, aged 15-64","Youth Employment Rate, aged 15-24","Youth Unemployment Rate, aged 15-24","Wage employees, aged 15-64 ","Self-employed, aged 15-64","Unpaid, aged 15-64","Employers, aged 15-64","Unpaid or Self-employed, age 15-64","Share of informal jobs, aged 15-64",Share of work contract,Share of health insurance,Share of social security,"Public sector employment, aged 15-64"," Agriculture, aged 15-64"," Industry, aged 15-64"," Services, aged 15-64","Mining, aged 15-64","Manufacturing, aged 15-64","Electricity and utilities, aged 15-64","Construction, aged 15-64","Commerce, aged 15-64","Transport & Communication, aged 15-64","Financial and Business Services, aged 15-64","Public Administration, aged 15-64","Other services, aged 15-64"," Female in non-agricultural employment, aged 15-64","Youth in non-agricultural employment, aged 15-64","Non-Agricultural wage employment, aged 15-64","Non-Agricultural unpaid employment, aged 15-64","Non-Agricultural employer, aged 15-64","Non-Agricultural self-employed, aged 15-64","Youth Non-Agricultural wage employment, aged 15-24","Wage employment in agriculture, aged 15-64","Wage employment in industry, aged 15-64","Wage employment in services, aged 15-64"," Senior Officials, aged 15-64"," Professionals, aged 15-64"," Technicians, aged 15-64"," Clerks, aged 15-64"," Service and Market Sales, aged 15-64"," Skilled Agriculture, aged 15-64"," Craft Workers, aged 15-64"," Machine Operators, aged 15-64"," Elementary Occupations, aged 15-64", Armed Forces,Average weekly working hours,"Underemployment, <35 hours per week","Excessive working hours,>48 hours per week","Median Earnings for wage workers per hour, local nominal currency","Median Earnings for wage workers per month, local nominal currency","Median Earnings for wage workers per month in agriculture, local nominal currenc","Median Earnings for wage workers per month in industry, local nominal currency","Median Earnings for wage workers per month in service, local nominal currency","Median Earnings for wage workers per hour,  deflated to 2011 local currency valu","Real Median Hourly  Wages in USD (base 2011), PPP adjusted","Median Earnings for wage workers per month, deflated to 2011 local currency valu","Real Median Monthly Wages in USD (base 2011), PPP adjusted","Female to Male gender wage gap, calculated with median wages","Public to Private wage gap, calculated with median wages", No Education, Primary Education, Secondary Education, Post Secondary Education,"Mean number of years of education completed, aged 17 and older",Enrollment rate for individuals aged 6-16,Individual age,Mean age of worker between 15-64,"Mean age of worker in agriculture, between 15-64","Mean age of worker in industry, between 15-64","Mean age of worker in services, between 15-64","Mean age of wage worker, between 15-64","Mean age of self-employed or unpaid worker, between 15-64","Mean age of employer, between 15-64",Total flags in survey,"Percentile (100 = max), total flags",Flags over max number of flags,"Percentile (100 = max), share of flags"
0,Bulgaria,BGR,ECS,High Education,Upper middle income,UMC,2009,BGR_2009_I2D2_EUROSILC.dta,I2D2,5944792,0.0,0.12,0.69,0.19,0.52,0.81,,,,3758683,0.78,0.74,0.08,,0.67,0.86,0.14,0.72,0.28,0.87,0.08,0.01,0.04,0.09,,,,,,0.07,0.35,0.58,0.0,0.24,0.0,0.12,0.23,0.08,0.07,0.07,0.13,0.95,0.95,0.84,0.0,0.04,0.06,0.95,0.54,0.93,0.87,0.07,0.12,0.08,0.07,0.17,0.04,0.17,0.14,0.12,0.01,42.12,0.05,0.11,1.16,204.52,156.95,214.75,204.52,0.01,0.02,2.22,2.75,0.73,,0.0,0.0,0.81,0.19,11.92,,47.08,41.43,44.08,41.64,41.0,41.1,43.81,43.26,58.0,46.0,0.05,41.0
1,Bulgaria,BGR,ECS,High Education,Upper middle income,UMC,2010,BGR_2010_I2D2_EUROSILC.dta,I2D2,5928295,0.0,0.12,0.68,0.2,0.53,0.8,,,,3714188,0.78,0.74,0.09,,0.66,0.84,0.16,0.65,0.35,0.88,0.08,0.01,0.04,0.08,,,,,,0.06,0.33,0.61,0.0,0.23,0.0,0.1,0.23,0.08,0.07,0.08,0.14,0.95,0.95,0.84,0.0,0.04,0.06,0.95,0.59,0.93,0.88,0.07,0.14,0.09,0.07,0.17,0.03,0.15,0.13,0.13,0.01,41.7,0.05,0.1,1.23,218.15,153.39,216.28,227.34,0.01,0.02,2.34,2.91,0.76,,0.0,0.0,0.79,0.21,12.03,,47.37,41.89,45.01,42.01,41.5,41.44,45.29,44.81,57.0,45.0,0.05,39.0
2,Bulgaria,BGR,ECS,High Education,Upper middle income,UMC,2011,BGR_2011_I2D2_EUROSILC.dta,I2D2,5873102,0.0,0.11,0.68,0.21,0.52,0.79,,,,3636527,0.78,0.74,0.09,,0.65,0.83,0.17,0.62,0.38,0.9,0.06,0.0,0.03,0.07,,,,,,0.07,0.32,0.62,0.0,0.23,0.0,0.09,0.23,0.09,0.07,0.08,0.15,0.96,0.94,0.86,0.0,0.03,0.04,0.94,0.6,0.95,0.91,0.06,0.16,0.08,0.07,0.22,0.03,0.15,0.12,0.1,0.01,41.57,0.03,0.08,1.32,233.66,175.88,230.09,243.21,0.01,0.02,2.39,2.96,0.79,,0.0,0.0,0.78,0.22,12.07,,47.65,42.0,44.91,42.2,41.58,41.7,44.08,45.99,50.0,34.0,0.04,32.0
3,Bulgaria,BGR,ECS,High Education,Upper middle income,UMC,2012,BGR_2012_I2D2_EUROSILC.dta,I2D2,5806518,0.0,0.1,0.67,0.22,0.68,0.78,,,,3519957,0.78,0.73,0.08,,0.64,0.82,0.18,0.56,0.44,0.91,0.06,0.0,0.03,0.06,,,,,,0.06,0.31,0.62,0.0,0.24,0.0,0.08,0.23,0.09,0.08,0.08,0.15,0.96,0.94,0.86,0.0,0.03,0.04,0.94,0.64,0.95,0.91,0.06,0.17,0.09,0.06,0.21,0.03,0.15,0.12,0.1,0.01,41.51,0.03,0.07,1.23,219.86,175.55,209.63,230.09,0.01,0.01,2.18,2.7,0.8,,0.0,0.0,0.77,0.23,12.17,,48.53,42.66,44.55,43.04,42.28,42.42,44.62,45.74,55.0,42.0,0.05,39.0
4,Bulgaria,BGR,ECS,High Education,Upper middle income,UMC,2013,BGR_2013_I2D2_EUROSILC.dta,I2D2,5722120,0.0,0.1,0.67,0.23,0.68,0.77,,,,3482675,0.79,0.75,0.07,,0.65,0.82,0.18,0.58,0.42,0.91,0.06,0.0,0.03,0.06,,,,,,0.06,0.31,0.62,0.0,0.24,0.0,0.08,0.23,0.09,0.08,0.08,0.15,0.96,0.96,0.87,0.0,0.03,0.04,0.96,0.61,0.96,0.91,0.05,0.17,0.09,0.06,0.21,0.03,0.14,0.12,0.12,0.01,41.45,0.04,0.06,1.29,230.09,193.87,225.82,230.09,0.01,0.02,2.22,2.75,0.8,,0.0,0.0,0.76,0.24,12.22,,48.97,42.97,45.12,43.27,42.6,42.73,44.84,46.34,54.0,40.0,0.05,38.0
5,Bulgaria,BGR,ECS,High Education,Upper middle income,UMC,2014,BGR_2014_I2D2_EUROSILC.dta,I2D2,4938442,0.0,0.04,0.68,0.28,0.68,0.72,,,,2903686,0.81,0.79,0.1,,0.68,0.83,0.17,0.47,0.53,0.9,0.06,0.0,0.04,0.07,,,,,,0.07,0.31,0.63,0.0,0.23,0.0,0.07,0.2,0.1,0.09,0.07,0.17,0.96,0.91,0.86,0.0,0.03,0.04,0.9,0.61,0.96,0.9,0.06,0.18,0.09,0.06,0.19,0.03,0.14,0.12,0.11,0.01,41.25,0.04,0.05,1.37,245.42,194.29,230.09,255.65,0.01,0.02,2.43,3.01,0.83,,0.0,0.0,0.7,0.3,12.23,,52.84,45.48,46.3,46.23,45.02,45.34,46.36,47.11,56.0,44.0,0.05,40.0
6,Bulgaria,BGR,ECS,High Education,Upper middle income,UMC,2015,BGR_2015_I2D2_EUROSILC.dta,I2D2,4940962,0.0,0.05,0.67,0.28,0.69,0.72,,,,2880849,0.81,0.79,0.1,,0.68,0.84,0.16,0.36,0.64,0.89,0.06,0.01,0.04,0.07,,,,,,0.06,0.31,0.62,0.0,0.24,0.0,0.07,0.19,0.1,0.09,0.07,0.17,0.96,0.91,0.85,0.0,0.03,0.05,0.9,0.61,0.95,0.89,0.07,0.19,0.1,0.05,0.18,0.03,0.14,0.12,0.11,0.0,41.31,0.04,0.06,1.47,255.65,204.52,255.65,265.88,0.01,0.02,2.5,3.1,0.83,,0.0,0.0,0.7,0.3,12.23,,53.01,45.78,47.02,46.44,45.31,45.68,46.18,47.3,54.0,40.0,0.05,38.0
7,Bulgaria,BGR,ECS,High Education,Upper middle income,UMC,2016,BGR_2016_I2D2_EUROSILC.dta,I2D2,4984415,0.0,0.05,0.66,0.29,0.69,0.71,,,,2825624,0.8,0.77,0.1,,0.68,0.86,0.14,0.47,0.53,0.9,0.06,0.0,0.04,0.07,,,,,,0.07,0.3,0.63,0.0,0.24,0.0,0.07,0.19,0.1,0.1,0.08,0.16,0.96,0.88,0.85,0.0,0.03,0.04,0.87,0.62,0.96,0.89,0.06,0.19,0.09,0.06,0.19,0.03,0.14,0.12,0.1,0.01,41.17,0.04,0.05,1.46,255.65,194.29,241.01,257.94,0.01,0.02,2.52,3.13,0.84,,0.0,0.0,0.7,0.3,12.29,,53.11,45.61,46.56,46.28,45.19,45.5,46.31,47.04,54.0,40.0,0.05,38.0
8,"Bahamas, The",BHS,LCN,High Education,High income,HIC,2001,BHS_2001_I2D2_BLCS.dta,I2D2,184530,0.05,0.24,0.67,0.04,,0.92,,,,136055,0.81,0.77,0.12,0.14,0.78,0.96,0.04,0.9,0.1,,,,,,0.39,,0.61,,0.18,0.02,0.19,0.79,0.0,0.04,0.02,0.12,0.29,0.07,0.12,0.11,0.21,0.99,0.98,,,,,,,,,0.08,0.1,0.11,0.12,0.21,0.02,0.16,0.05,0.13,0.0,42.81,0.13,0.18,,,,,,,,,,,,0.0,0.0,0.75,0.25,12.29,0.98,34.36,35.65,36.26,34.15,35.99,,,,59.0,47.0,0.1,75.0
9,Bosnia and Herzegovina,BIH,ECS,High Education,Upper middle income,UMC,2001,BIH_2001_I2D2_LSMS_V01_M_V01_A.dta,I2D2,1559183,0.0,0.27,0.66,0.07,0.36,0.93,,,,787798,0.54,0.44,0.26,,0.45,0.83,0.17,0.58,0.42,0.88,0.06,0.01,0.04,0.07,0.28,,0.74,,0.02,0.05,0.38,0.58,0.04,0.22,0.03,0.09,0.18,0.07,0.04,0.1,0.19,0.98,0.96,0.86,0.01,0.04,0.05,0.96,0.5,0.96,0.87,0.06,0.09,0.13,0.09,0.15,0.02,0.21,0.09,0.15,0.0,44.61,0.05,0.2,1.84,350.0,370.0,300.0,350.0,,,,,0.86,2.5,0.0,0.0,0.84,0.16,11.95,1.0,37.01,38.53,38.34,39.27,38.14,38.41,40.16,39.53,53.0,38.0,0.06,45.0
