,Country Name,Country Code,Region Code,Subsample,Income Level Name,Income Level Code,Year of survey,Survey Data Source,Survey Type,Total population,"Children, aged 0-14","Youth, aged 15-24","Adult, aged 25-64","Elderly, aged 65+",Urban Population (% of total Population)," Working Age Population, aged 15-64 (% of total Pop.)","Dependency Rate, all compared to 15-64","Youth Dependency Rate, younger than 15 compared to 15-64","Old Age Dependency Rate, older than 64 compared to 15-64","Labor Force, aged 15-64","Labor Force Participation Rate, aged 15-64","Female Labor Force Participation Rate, aged 15-64","Not in labor force or education rate among youth, aged 15-24",Share of workers (aged 15-64) with more than one jobs in last week,"Employment to Population Ratio, aged 15-64","Employment Rate, aged 15-64 ","Unemployment Rate, aged 15-64","Youth Employment Rate, aged 15-24","Youth Unemployment Rate, aged 15-24","Wage employees, aged 15-64 ","Self-employed, aged 15-64","Unpaid, aged 15-64","Employers, aged 15-64","Unpaid or Self-employed, age 15-64","Share of informal jobs, aged 15-64",Share of work contract,Share of health insurance,Share of social security,"Public sector employment, aged 15-64"," Agriculture, aged 15-64"," Industry, aged 15-64"," Services, aged 15-64","Mining, aged 15-64","Manufacturing, aged 15-64","Electricity and utilities, aged 15-64","Construction, aged 15-64","Commerce, aged 15-64","Transport & Communication, aged 15-64","Financial and Business Services, aged 15-64","Public Administration, aged 15-64","Other services, aged 15-64"," Female in non-agricultural employment, aged 15-64","Youth in non-agricultural employment, aged 15-64","Non-Agricultural wage employment, aged 15-64","Non-Agricultural unpaid employment, aged 15-64","Non-Agricultural employer, aged 15-64","Non-Agricultural self-employed, aged 15-64","Youth Non-Agricultural wage employment, aged 15-24","Wage employment in agriculture, aged 15-64","Wage employment in industry, aged 15-64","Wage employment in services, aged 15-64"," Senior Officials, aged 15-64"," Professionals, aged 15-64"," Technicians, aged 15-64"," Clerks, aged 15-64"," Service and Market Sales, aged 15-64"," Skilled Agriculture, aged 15-64"," Craft Workers, aged 15-64"," Machine Operators, aged 15-64"," Elementary Occupations, aged 15-64", Armed Forces,Average weekly working hours,"Underemployment, <35 hours per week","Excessive working hours,>48 hours per week","Median Earnings for wage workers per hour, local nominal currency","Median Earnings for wage workers per month, local nominal currency","Median Earnings for wage workers per month in agriculture, local nominal currenc","Median Earnings for wage workers per month in industry, local nominal currency","Median Earnings for wage workers per month in service, local nominal currency","Median Earnings for wage workers per hour,  deflated to 2011 local currency valu","Real Median Hourly  Wages in USD (base 2011), PPP adjusted","Median Earnings for wage workers per month, deflated to 2011 local currency valu","Real Median Monthly Wages in USD (base 2011), PPP adjusted","Female to Male gender wage gap, calculated with median wages","Public to Private wage gap, calculated with median wages", No Education, Primary Education, Secondary Education, Post Secondary Education,"Mean number of years of education completed, aged 17 and older",Enrollment rate for individuals aged 6-16,Individual age,Mean age of worker between 15-64,"Mean age of worker in agriculture, between 15-64","Mean age of worker in industry, between 15-64","Mean age of worker in services, between 15-64","Mean age of wage worker, between 15-64","Mean age of self-employed or unpaid worker, between 15-64","Mean age of employer, between 15-64",Total flags in survey,"Percentile (100 = max), total flags",Flags over max number of flags,"Percentile (100 = max), share of flags"
0,Bulgaria,BGR,ECS,Female,Upper middle income,UMC,2009,BGR_2009_I2D2_EUROSILC.dta,I2D2,3925271,0.11,0.12,0.56,0.21,0.5,0.67,,,,1860668,0.73,0.73,0.16,,0.61,0.83,0.17,0.62,0.38,0.9,0.06,0.01,0.03,0.07,,,,,,0.06,0.27,0.67,0.0,0.24,0.0,0.03,0.27,0.05,0.08,0.06,0.21,0.94,0.98,0.87,0.0,0.03,0.05,0.98,0.54,0.96,0.9,0.05,0.17,0.09,0.12,0.23,0.04,0.08,0.08,0.13,0.0,41.03,0.07,0.07,0.99,178.96,103.37,178.96,179.73,0.01,0.01,1.91,2.37,,,0.01,0.04,0.73,0.22,11.44,,43.63,41.75,43.66,41.66,41.69,41.53,45.06,41.85,58.0,46.0,0.05,41.0
1,Bulgaria,BGR,ECS,Female,Upper middle income,UMC,2010,BGR_2010_I2D2_EUROSILC.dta,I2D2,3904399,0.12,0.11,0.55,0.22,0.51,0.67,,,,1828563,0.72,0.72,0.16,,0.6,0.82,0.18,0.6,0.4,0.91,0.06,0.01,0.03,0.07,,,,,,0.05,0.25,0.7,0.0,0.23,0.0,0.02,0.28,0.05,0.08,0.07,0.22,0.95,0.96,0.88,0.0,0.02,0.04,0.96,0.62,0.98,0.91,0.05,0.2,0.1,0.11,0.22,0.03,0.08,0.07,0.13,0.0,40.84,0.06,0.07,1.1,193.78,110.76,178.96,204.52,0.01,0.01,2.07,2.56,,,0.01,0.04,0.7,0.25,11.55,,43.88,42.23,44.92,42.01,42.13,41.96,45.88,42.98,57.0,45.0,0.05,39.0
2,Bulgaria,BGR,ECS,Female,Upper middle income,UMC,2011,BGR_2011_I2D2_EUROSILC.dta,I2D2,3883330,0.12,0.11,0.55,0.22,0.51,0.66,,,,1793007,0.72,0.72,0.17,,0.6,0.83,0.17,0.59,0.41,0.93,0.05,0.0,0.02,0.05,,,,,,0.05,0.24,0.71,0.0,0.22,0.0,0.02,0.28,0.05,0.08,0.07,0.23,0.95,0.97,0.9,0.0,0.02,0.03,0.97,0.62,0.99,0.93,0.04,0.23,0.07,0.1,0.28,0.03,0.08,0.06,0.1,0.0,40.98,0.04,0.06,1.18,204.52,136.35,187.14,214.75,0.01,0.01,2.05,2.54,,,0.01,0.04,0.68,0.26,11.58,,43.88,42.42,45.98,42.16,42.28,42.23,45.06,45.3,50.0,34.0,0.04,32.0
3,Bulgaria,BGR,ECS,Female,Upper middle income,UMC,2012,BGR_2012_I2D2_EUROSILC.dta,I2D2,3770787,0.12,0.1,0.55,0.23,0.66,0.65,,,,1715829,0.72,0.72,0.14,,0.59,0.82,0.18,0.52,0.48,0.93,0.05,0.0,0.01,0.05,,,,,,0.05,0.25,0.7,0.0,0.23,0.0,0.02,0.27,0.05,0.08,0.07,0.24,0.95,0.95,0.9,0.0,0.01,0.03,0.95,0.66,0.99,0.93,0.04,0.25,0.08,0.09,0.26,0.03,0.08,0.06,0.11,0.0,40.85,0.04,0.06,1.13,199.92,142.31,178.96,204.52,0.01,0.01,1.99,2.46,,,0.01,0.04,0.67,0.28,11.75,,44.69,42.98,44.73,42.49,43.03,42.83,45.73,43.11,55.0,42.0,0.05,39.0
4,Bulgaria,BGR,ECS,Female,Upper middle income,UMC,2013,BGR_2013_I2D2_EUROSILC.dta,I2D2,3731765,0.12,0.1,0.54,0.24,0.66,0.65,,,,1745613,0.74,0.74,0.13,,0.61,0.82,0.18,0.62,0.38,0.94,0.04,0.0,0.02,0.04,,,,,,0.04,0.24,0.72,0.0,0.22,0.0,0.02,0.27,0.05,0.09,0.07,0.23,0.96,0.98,0.91,0.0,0.02,0.03,0.98,0.62,0.99,0.94,0.04,0.23,0.08,0.08,0.28,0.03,0.08,0.06,0.12,0.0,40.65,0.05,0.04,1.18,204.52,153.39,183.56,208.61,0.01,0.01,1.97,2.44,,,0.01,0.04,0.66,0.28,11.83,,44.85,42.95,45.64,42.81,43.0,42.92,45.2,45.68,54.0,40.0,0.05,38.0
5,Bulgaria,BGR,ECS,Female,Upper middle income,UMC,2014,BGR_2014_I2D2_EUROSILC.dta,I2D2,3727102,0.12,0.1,0.54,0.25,0.66,0.64,,,,1744742,0.76,0.76,0.17,,0.63,0.82,0.18,0.61,0.39,0.94,0.04,0.01,0.02,0.04,,,,,,0.04,0.24,0.72,0.0,0.22,0.0,0.01,0.26,0.05,0.09,0.07,0.24,0.96,0.96,0.91,0.0,0.02,0.02,0.96,0.64,0.99,0.94,0.04,0.22,0.08,0.09,0.28,0.03,0.08,0.06,0.11,0.0,40.36,0.06,0.04,1.18,205.03,155.26,199.41,222.41,0.01,0.01,2.06,2.56,,,0.02,0.05,0.59,0.34,11.7,,44.97,42.97,44.88,43.48,42.76,42.83,45.79,46.62,56.0,44.0,0.05,40.0
6,Bulgaria,BGR,ECS,Female,Upper middle income,UMC,2015,BGR_2015_I2D2_EUROSILC.dta,I2D2,3706721,0.12,0.09,0.54,0.25,0.68,0.63,,,,1706237,0.75,0.75,0.17,,0.62,0.83,0.17,0.65,0.35,0.93,0.04,0.01,0.02,0.05,,,,,,0.04,0.24,0.71,0.0,0.23,0.0,0.01,0.27,0.05,0.09,0.07,0.24,0.96,0.95,0.91,0.0,0.02,0.03,0.95,0.62,0.99,0.93,0.05,0.22,0.09,0.09,0.27,0.02,0.09,0.07,0.1,0.0,40.62,0.05,0.05,1.32,230.09,173.84,204.52,251.82,0.01,0.02,2.25,2.79,,,0.02,0.05,0.6,0.33,11.7,,45.13,43.41,44.9,44.0,43.29,43.31,46.43,47.41,54.0,40.0,0.05,38.0
7,Bulgaria,BGR,ECS,Female,Upper middle income,UMC,2016,BGR_2016_I2D2_EUROSILC.dta,I2D2,3678799,0.12,0.09,0.53,0.25,0.68,0.62,,,,1640654,0.74,0.74,0.17,,0.62,0.84,0.16,0.64,0.36,0.93,0.04,0.01,0.02,0.05,,,,,,0.04,0.24,0.72,0.0,0.22,0.0,0.01,0.24,0.05,0.11,0.07,0.24,0.96,0.97,0.9,0.0,0.02,0.03,0.97,0.67,0.98,0.93,0.05,0.22,0.08,0.1,0.27,0.03,0.09,0.06,0.1,0.0,40.41,0.05,0.03,1.29,225.04,127.82,213.81,232.41,0.01,0.02,2.27,2.81,,,0.02,0.04,0.59,0.34,11.81,,45.36,43.68,44.75,44.05,43.7,43.67,45.93,46.01,54.0,40.0,0.05,38.0
8,"Bahamas, The",BHS,LCN,Female,High income,HIC,2001,BHS_2001_I2D2_BLCS.dta,I2D2,157375,0.29,0.15,0.5,0.06,,0.65,,,,75842,0.74,0.74,0.15,0.11,0.71,0.96,0.04,0.9,0.1,,,,,,0.39,,0.61,,0.21,0.01,0.05,0.94,0.0,0.04,0.0,0.01,0.35,0.04,0.14,0.1,0.31,0.99,1.0,,,,,,,,,0.07,0.11,0.14,0.21,0.26,0.0,0.03,0.01,0.16,0.0,40.57,0.15,0.11,,,,,,,,,,,,0.02,0.09,0.65,0.24,11.17,0.99,29.38,36.6,41.56,35.08,36.63,,,,59.0,47.0,0.1,75.0
9,Bosnia and Herzegovina,BIH,ECS,Female,Upper middle income,UMC,2001,BIH_2001_I2D2_LSMS_V01_M_V01_A.dta,I2D2,1815759,0.18,0.14,0.52,0.15,0.43,0.67,,,,366306,0.3,0.3,0.29,,0.24,0.79,0.21,0.53,0.47,0.86,0.07,0.04,0.02,0.12,0.35,,0.67,,0.02,0.1,0.28,0.63,0.01,0.23,0.01,0.03,0.23,0.02,0.05,0.07,0.25,0.9,0.94,0.86,0.01,0.02,0.02,0.94,0.06,1.0,0.93,0.02,0.11,0.15,0.14,0.2,0.04,0.12,0.01,0.22,0.0,41.04,0.12,0.12,1.64,300.0,190.0,250.0,300.0,,,,,,3.0,0.07,0.42,0.42,0.09,7.53,0.97,38.45,39.24,45.58,39.02,38.27,38.52,44.78,35.4,53.0,38.0,0.06,45.0
