,Country Name,Country Code,Region Code,Subsample,Income Level Name,Income Level Code,Year of survey,Survey Data Source,Survey Type,Total population,"Children, aged 0-14","Youth, aged 15-24","Adult, aged 25-64","Elderly, aged 65+",Urban Population (% of total Population)," Working Age Population, aged 15-64 (% of total Pop.)","Dependency Rate, all compared to 15-64","Youth Dependency Rate, younger than 15 compared to 15-64","Old Age Dependency Rate, older than 64 compared to 15-64","Labor Force, aged 15-64","Labor Force Participation Rate, aged 15-64","Female Labor Force Participation Rate, aged 15-64","Not in labor force or education rate among youth, aged 15-24",Share of workers (aged 15-64) with more than one jobs in last week,"Employment to Population Ratio, aged 15-64","Employment Rate, aged 15-64 ","Unemployment Rate, aged 15-64","Youth Employment Rate, aged 15-24","Youth Unemployment Rate, aged 15-24","Wage employees, aged 15-64 ","Self-employed, aged 15-64","Unpaid, aged 15-64","Employers, aged 15-64","Unpaid or Self-employed, age 15-64","Share of informal jobs, aged 15-64",Share of work contract,Share of health insurance,Share of social security,"Public sector employment, aged 15-64"," Agriculture, aged 15-64"," Industry, aged 15-64"," Services, aged 15-64","Mining, aged 15-64","Manufacturing, aged 15-64","Electricity and utilities, aged 15-64","Construction, aged 15-64","Commerce, aged 15-64","Transport & Communication, aged 15-64","Financial and Business Services, aged 15-64","Public Administration, aged 15-64","Other services, aged 15-64"," Female in non-agricultural employment, aged 15-64","Youth in non-agricultural employment, aged 15-64","Non-Agricultural wage employment, aged 15-64","Non-Agricultural unpaid employment, aged 15-64","Non-Agricultural employer, aged 15-64","Non-Agricultural self-employed, aged 15-64","Youth Non-Agricultural wage employment, aged 15-24","Wage employment in agriculture, aged 15-64","Wage employment in industry, aged 15-64","Wage employment in services, aged 15-64"," Senior Officials, aged 15-64"," Professionals, aged 15-64"," Technicians, aged 15-64"," Clerks, aged 15-64"," Service and Market Sales, aged 15-64"," Skilled Agriculture, aged 15-64"," Craft Workers, aged 15-64"," Machine Operators, aged 15-64"," Elementary Occupations, aged 15-64", Armed Forces,Average weekly working hours,"Underemployment, <35 hours per week","Excessive working hours,>48 hours per week","Median Earnings for wage workers per hour, local nominal currency","Median Earnings for wage workers per month, local nominal currency","Median Earnings for wage workers per month in agriculture, local nominal currenc","Median Earnings for wage workers per month in industry, local nominal currency","Median Earnings for wage workers per month in service, local nominal currency","Median Earnings for wage workers per hour,  deflated to 2011 local currency valu","Real Median Hourly  Wages in USD (base 2011), PPP adjusted","Median Earnings for wage workers per month, deflated to 2011 local currency valu","Real Median Monthly Wages in USD (base 2011), PPP adjusted","Female to Male gender wage gap, calculated with median wages","Public to Private wage gap, calculated with median wages", No Education, Primary Education, Secondary Education, Post Secondary Education,"Mean number of years of education completed, aged 17 and older",Enrollment rate for individuals aged 6-16,Individual age,Mean age of worker between 15-64,"Mean age of worker in agriculture, between 15-64","Mean age of worker in industry, between 15-64","Mean age of worker in services, between 15-64","Mean age of wage worker, between 15-64","Mean age of self-employed or unpaid worker, between 15-64","Mean age of employer, between 15-64",Total flags in survey,"Percentile (100 = max), total flags",Flags over max number of flags,"Percentile (100 = max), share of flags"
0,Bulgaria,BGR,ECS,Urban,Upper middle income,UMC,2009,BGR_2009_I2D2_EUROSILC.dta,I2D2,3756071,0.12,0.13,0.6,0.16,1.0,0.72,,,,2069144,0.78,0.74,0.1,,0.7,0.89,0.11,0.74,0.26,0.88,0.07,0.01,0.04,0.07,,,,,,0.02,0.33,0.65,0.0,0.21,0.0,0.12,0.26,0.09,0.09,0.07,0.14,0.98,0.98,0.87,0.01,0.04,0.06,0.98,0.69,0.93,0.87,0.08,0.16,0.1,0.08,0.17,0.01,0.14,0.13,0.11,0.02,41.87,0.05,0.1,1.25,230.09,146.7,230.09,230.09,0.01,0.02,2.46,3.05,0.78,,0.01,0.02,0.73,0.25,12.23,,41.27,41.13,42.54,42.21,40.65,41.01,42.45,42.97,58.0,46.0,0.05,41.0
1,Bulgaria,BGR,ECS,Urban,Upper middle income,UMC,2010,BGR_2010_I2D2_EUROSILC.dta,I2D2,3812279,0.12,0.12,0.6,0.16,1.0,0.73,,,,2103733,0.78,0.74,0.11,,0.69,0.88,0.12,0.69,0.31,0.89,0.06,0.0,0.04,0.07,,,,,,0.02,0.3,0.68,0.0,0.2,0.0,0.1,0.26,0.1,0.09,0.08,0.15,0.99,0.99,0.88,0.0,0.04,0.06,0.99,0.68,0.93,0.88,0.07,0.18,0.11,0.08,0.18,0.01,0.14,0.11,0.11,0.01,41.57,0.04,0.09,1.32,240.31,178.96,230.09,246.93,0.01,0.02,2.56,3.17,0.77,,0.01,0.02,0.7,0.27,12.32,,41.16,41.66,44.75,42.28,41.33,41.3,44.62,44.88,57.0,45.0,0.05,39.0
2,Bulgaria,BGR,ECS,Urban,Upper middle income,UMC,2011,BGR_2011_I2D2_EUROSILC.dta,I2D2,3764484,0.13,0.11,0.6,0.16,1.0,0.71,,,,2030603,0.78,0.74,0.13,,0.68,0.87,0.13,0.68,0.32,0.91,0.05,0.0,0.03,0.05,,,,,,0.02,0.29,0.7,0.0,0.2,0.0,0.08,0.27,0.1,0.09,0.08,0.15,0.99,0.98,0.9,0.0,0.03,0.05,0.98,0.67,0.94,0.9,0.06,0.2,0.09,0.07,0.22,0.01,0.14,0.1,0.08,0.02,41.44,0.03,0.07,1.46,255.65,178.96,255.65,262.01,0.01,0.02,2.56,3.17,0.79,,0.01,0.02,0.68,0.28,12.38,,41.28,41.66,44.43,42.24,41.4,41.45,42.52,46.85,50.0,34.0,0.04,32.0
3,Bulgaria,BGR,ECS,Urban,Upper middle income,UMC,2012,BGR_2012_I2D2_EUROSILC.dta,I2D2,4819355,0.12,0.11,0.59,0.18,1.0,0.7,,,,2585091,0.79,0.75,0.09,,0.66,0.84,0.16,0.6,0.4,0.92,0.05,0.0,0.03,0.05,,,,,,0.02,0.3,0.68,0.0,0.23,0.0,0.07,0.25,0.1,0.09,0.09,0.16,0.99,0.97,0.9,0.0,0.03,0.05,0.97,0.71,0.95,0.91,0.06,0.19,0.1,0.07,0.23,0.01,0.14,0.11,0.09,0.01,41.18,0.03,0.06,1.32,230.09,188.49,219.86,240.31,0.01,0.02,2.27,2.82,0.8,,0.01,0.02,0.69,0.29,12.44,,42.26,42.52,43.58,43.51,42.08,42.4,43.39,45.18,55.0,42.0,0.05,39.0
4,Bulgaria,BGR,ECS,Urban,Upper middle income,UMC,2013,BGR_2013_I2D2_EUROSILC.dta,I2D2,4770027,0.12,0.1,0.59,0.18,1.0,0.7,,,,2576753,0.8,0.77,0.07,,0.67,0.83,0.17,0.64,0.36,0.92,0.05,0.0,0.03,0.05,,,,,,0.02,0.3,0.69,0.0,0.22,0.0,0.07,0.25,0.1,0.09,0.08,0.16,0.99,0.98,0.9,0.0,0.03,0.05,0.98,0.69,0.95,0.91,0.05,0.2,0.11,0.07,0.22,0.01,0.14,0.11,0.09,0.01,40.99,0.04,0.05,1.38,240.31,184.07,230.09,249.51,0.01,0.02,2.36,2.93,0.84,,0.01,0.02,0.68,0.3,12.5,,42.46,42.65,44.13,43.47,42.39,42.59,43.3,46.06,54.0,40.0,0.05,38.0
5,Bulgaria,BGR,ECS,Urban,Upper middle income,UMC,2014,BGR_2014_I2D2_EUROSILC.dta,I2D2,4777864,0.13,0.1,0.59,0.19,1.0,0.69,,,,2568182,0.81,0.79,0.11,,0.69,0.85,0.15,0.7,0.3,0.92,0.05,0.0,0.03,0.05,,,,,,0.02,0.29,0.68,0.0,0.22,0.0,0.07,0.24,0.11,0.1,0.07,0.16,0.99,0.97,0.9,0.0,0.03,0.04,0.97,0.72,0.96,0.91,0.06,0.19,0.11,0.07,0.22,0.01,0.14,0.11,0.1,0.01,40.82,0.04,0.04,1.47,255.65,210.91,255.65,255.65,0.01,0.02,2.5,3.1,0.83,,0.01,0.03,0.6,0.36,12.45,,42.51,42.47,43.18,43.26,42.17,42.31,43.62,46.77,56.0,44.0,0.05,40.0
6,Bulgaria,BGR,ECS,Urban,Upper middle income,UMC,2015,BGR_2015_I2D2_EUROSILC.dta,I2D2,4853553,0.13,0.1,0.59,0.19,1.0,0.69,,,,2604159,0.81,0.78,0.1,,0.69,0.86,0.14,0.68,0.32,0.91,0.05,0.0,0.03,0.05,,,,,,0.02,0.3,0.68,0.0,0.23,0.0,0.07,0.24,0.11,0.1,0.07,0.16,0.98,0.99,0.9,0.0,0.03,0.05,0.99,0.74,0.95,0.9,0.06,0.2,0.1,0.06,0.21,0.01,0.14,0.11,0.09,0.01,40.86,0.03,0.04,1.47,259.91,230.09,255.65,277.38,0.01,0.02,2.58,3.2,0.85,,0.01,0.03,0.6,0.36,12.46,,42.48,42.69,43.85,43.26,42.51,42.54,44.18,46.64,54.0,40.0,0.05,38.0
7,Bulgaria,BGR,ECS,Urban,Upper middle income,UMC,2016,BGR_2016_I2D2_EUROSILC.dta,I2D2,4794983,0.13,0.09,0.58,0.19,1.0,0.68,,,,2484650,0.79,0.76,0.09,,0.69,0.88,0.12,0.64,0.36,0.91,0.05,0.0,0.04,0.05,,,,,,0.02,0.3,0.68,0.0,0.23,0.0,0.07,0.23,0.11,0.11,0.08,0.15,0.99,0.98,0.9,0.0,0.04,0.04,0.98,0.66,0.96,0.9,0.06,0.19,0.1,0.07,0.22,0.01,0.14,0.11,0.09,0.01,40.89,0.04,0.04,1.47,255.65,194.29,248.5,262.15,0.01,0.02,2.54,3.16,0.87,,0.01,0.03,0.6,0.37,12.55,,42.81,42.86,42.56,43.31,42.78,42.77,43.99,45.56,54.0,40.0,0.05,38.0
8,Bosnia and Herzegovina,BIH,ECS,Urban,Upper middle income,UMC,2001,BIH_2001_I2D2_LSMS_V01_M_V01_A.dta,I2D2,1523384,0.21,0.16,0.51,0.13,1.0,0.67,,,,388618,0.39,0.25,0.35,,0.32,0.82,0.18,0.6,0.4,0.82,0.1,0.04,0.04,0.14,0.41,,0.62,,0.0,0.13,0.4,0.47,0.03,0.2,0.02,0.15,0.17,0.07,0.02,0.06,0.15,0.9,0.89,0.77,0.01,0.04,0.06,0.88,0.4,0.95,0.82,0.05,0.07,0.07,0.06,0.13,0.06,0.22,0.12,0.23,0.0,46.41,0.07,0.3,1.84,350.0,350.0,300.0,350.0,,,,,0.75,2.5,0.05,0.4,0.48,0.07,7.89,0.97,35.57,38.66,39.56,39.88,37.24,38.17,41.44,37.69,53.0,38.0,0.06,45.0
9,Bosnia and Herzegovina,BIH,ECS,Urban,Upper middle income,UMC,2007,BIH_2007_I2D2_HBS_V01_M_V02_A.dta,I2D2,1349996,0.16,0.15,0.55,0.14,1.0,0.7,,,,530978,0.56,0.47,0.83,,0.45,0.81,0.19,0.87,0.13,0.86,0.07,0.01,0.06,0.08,0.09,0.91,,,0.02,0.03,0.28,0.69,0.01,0.14,0.05,0.08,0.24,0.07,0.04,0.09,0.26,0.98,0.98,0.85,0.01,0.05,0.07,0.98,0.66,0.88,0.87,0.04,0.12,0.19,0.12,0.24,0.01,0.06,0.08,0.13,0.01,,,,,,,,,,,,,,,0.03,0.21,0.61,0.15,,,38.66,41.45,43.82,42.81,40.81,41.32,41.4,43.1,86.0,73.0,0.09,71.0
